reporter_country_code,reporter_country,fbs_item_code,fbs_item,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation,new_domestic,d,E_re,E_dom
4,Afghanistan,2659,"Alcohol, Non-Food",2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2680,Infant food,2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2731,Bovine Meat,125000,0,9000,115000,0,124000,-9000,NA,NA
4,Afghanistan,2732,Mutton & Goat Meat,157000,0,0,158000,1000,157000,0,NA,NA
4,Afghanistan,2733,Pigmeat,2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2734,Poultry Meat,64000,0,36000,28000,0,64000,-36000,NA,NA
4,Afghanistan,2735,"Meat, Other",12000,0,0,12000,0,12000,0,NA,NA
4,Afghanistan,2736,"Offals, Edible",56000,0,4000,52000,0,56000,-4000,NA,NA
4,Afghanistan,2737,"Fats, Animals, Raw",14000,0,3000,11000,0,14000,-3000,NA,NA
4,Afghanistan,2740,"Butter, Ghee",41000,0,0,41000,0,41000,0,NA,NA
4,Afghanistan,2743,Cream,6000,0,6000,0,0,6000,-6000,NA,NA
4,Afghanistan,2744,Eggs,129000,0,107000,22000,0,129000,-107000,NA,NA
4,Afghanistan,2745,Honey,2000,0,0,2000,0,2000,0,NA,NA
4,Afghanistan,2761,Freshwater Fish,10100,0,0,10100,0,10100,0,NA,NA
